pmc_index	pmcc_index	mc7	mc8	mc8o	mc9	mc10	mc11	mc12	pmcc_id	pmcc_uuid	pmcc_submission_time	pmcc_parent_table_name	pmcc_parent_index	pmcc_tags	pmcc_notes	pmcc_version	pmcc_duration	pmcc_submitted_by
376.0	420	"cereals"	"maize"		1	1	20.0	1				"rgrp2"	376					
377.0	421	"cereals"	"maize"		1	0	35.0	1				"rgrp2"	377					
378.0	422	"legumes_oilseeds"	"beans"		1	0	1.0	10				"rgrp2"	378					
379.0	423	"cereals"	"maize"		1	0	16.0	1				"rgrp2"	379					
380.0	424	"legumes_oilseeds"	"sunflower"		1	1	2.0	3				"rgrp2"	380					
381.0	425	"cereals"	"maize"		1	0	16.0	1				"rgrp2"	381					
382.0	426	"cereals"	"maize"		1	0	20.0	0				"rgrp2"	382					
383.0	427	"legumes_oilseeds"	"beans"		1	0	3.0	0				"rgrp2"	383					
384.0	428	"cereals"	"maize"		1	0	30.0	0				"rgrp2"	384					
385.0	429	"legumes_oilseeds"	"groundnut"		1	0	12.0	2				"rgrp2"	385					
386.0	430	"cereals"	"maize"		1	0	5.0	0				"rgrp2"	386					
389.0	431	"legumes_oilseeds"	"beans"		1	0	3.0	0				"rgrp2"	389					
391.0	432	"legumes_oilseeds"	"beans"		1	0	3.0	0				"rgrp2"	391					
392.0	433	"legumes_oilseeds"	"beans"		1	0	1.5	0				"rgrp2"	392					
393.0	434	"cereals"	"maize"		1	0	40.0	0				"rgrp2"	393					
394.0	435	"legumes_oilseeds"	"groundnut"		1	0	15.0	2				"rgrp2"	394					
395.0	436	"cereals"	"maize"		1	0	5.0	0				"rgrp2"	395					
396.0	437	"cereals"	"maize"		1	0	10.0	0				"rgrp2"	396					
397.0	438	"cereals"	"maize"		1	0	4.0	0				"rgrp2"	397					
398.0	439	"cereals"	"maize"		1	1	10.0	0				"rgrp2"	398					
400.0	440	"legumes_oilseeds"	"beans"		1	0	1.0	0				"rgrp2"	400					
401.0	441	"cereals"	"finger_millet"		1	0	1.0	0				"rgrp2"	401					
402.0	442	"cereals"	"maize"		1	0	3.0	1				"rgrp2"	402					
403.0	443	"cereals"	"maize"		1	0	10.0	1				"rgrp2"	403					
405.0	444	"legumes_oilseeds"	"beans"		1	0	3.0	0				"rgrp2"	405					
406.0	445	"cereals"	"maize"		1	0	60.0	0				"rgrp2"	406					
407.0	446	"cereals"	"maize"		1	0	20.0	0				"rgrp2"	407					
409.0	447	"cereals"	"maize"		1	0	2.0	0				"rgrp2"	409					
410.0	448	"legumes_oilseeds"	"groundnut"		1	0	3.0	2				"rgrp2"	410					
411.0	449	"cereals"	"maize"		1	0	3.0	0				"rgrp2"	411					
413.0	450	"cereals"	"maize"		1	0	35.0	0				"rgrp2"	413					
