psc_index	pscc_index	sc7	sc8	sc8o	sc9	sc10	sc11	sc12	pscc_id	pscc_uuid	pscc_submission_time	pscc_parent_table_name	pscc_parent_index	pscc_tags	pscc_notes	pscc_version	pscc_duration	pscc_submitted_by
1338.0	99	"legumes_oilseeds"	"beans"		4	1	5.0	10				"rgrp4"	1338					
1339.0	100	"cereals"	"maize"		2	1	3.0	10				"rgrp4"	1339					
1339.0	101	"legumes_oilseeds"	"beans"		4	1	7.0	10				"rgrp4"	1339					
1340.0	102	"cash_other"	"other"	"Fallow"	1	0	0.0	8				"rgrp4"	1340					
1341.0	103	"cereals"	"maize"		2	1	3.5	10				"rgrp4"	1341					
1341.0	104	"legumes_oilseeds"	"beans"		4	1	5.0	2				"rgrp4"	1341					
1343.0	105	"roots_tubers"	"irish_potatoes"		1	1	10.0	1				"rgrp4"	1343					
1344.0	106	"legumes_oilseeds"	"field_peas"		1	1	2.0	1				"rgrp4"	1344					
1346.0	107	"roots_tubers"	"irish_potatoes"		1	1	25.0	0				"rgrp4"	1346					
1352.0	108	"roots_tubers"	"irish_potatoes"		1	1	32.0	0				"rgrp4"	1352					
1353.0	109	"legumes_oilseeds"	"field_peas"		1	1	18.0	10				"rgrp4"	1353					
1415.0	110	"vegetables"	"spinach"		3	1	3.0	14				"rgrp4"	1415					
1415.0	111	"vegetables"	"veg_other"		4	1	1.0	14				"rgrp4"	1415					
1415.0	112	"vegetables"	"amaranths"		4	1	2.0	14				"rgrp4"	1415					
1420.0	113	"legumes_oilseeds"	"legume_other"		1	1	3.0	10				"rgrp4"	1420					
1430.0	114	"roots_tubers"	"irish_potatoes"		1	1	4.0	1				"rgrp4"	1430					
1431.0	115	"roots_tubers"	"irish_potatoes"		1	0	700.0	10				"rgrp4"	1431					
1434.0	116	"legumes_oilseeds"	"beans"		1	0	8.0	10				"rgrp4"	1434					
1449.0	117	"cash_other"	"coffee"		1	0	0.0	8				"rgrp4"	1449					
