hh_index	cropsales_index	csal2g	csal2c	csal3	csal4	csal5	csal6	csal7	cropsales_id	cropsales_uuid	cropsales_submission_time	cropsales_parent_table_name	cropsales_parent_index	cropsales_tags	cropsales_notes	cropsales_version	cropsales_duration	cropsales_submitted_by
464.0	488	"cash_other"	"coffee"	70.0	8	70.0	8	2800000				"APS_tz17_hh"	464					
465.0	489	"fruits"	"banana"	10.0	17	10.0	17	15000				"APS_tz17_hh"	465					
465.0	490	"cash_other"	"coffee"	12.0	8	12.0	8	36000				"APS_tz17_hh"	465					
482.0	491	"legumes_oilseeds"	"groundnut"	5.0	8	3.0	8	2000				"APS_tz17_hh"	482					
486.0	492	"cash_other"	"coffee"	15.0	8	14.0	8	4000				"APS_tz17_hh"	486					
486.0	493	"fruits"	"banana"	25.0	17	25.0	17	15000				"APS_tz17_hh"	486					
487.0	494	"fruits"	"banana"	25.0	17	25.0	17	15000				"APS_tz17_hh"	487					
488.0	495	"cereals"	"maize"	-99.0	8	-99.0	8	15000				"APS_tz17_hh"	488					
488.0	496	"cash_other"	"coffee"	-99.0	8	1.0	3	100000				"APS_tz17_hh"	488					
489.0	497	"cereals"	"maize"	10.0	1	4.0	1	70000				"APS_tz17_hh"	489					
489.0	498	"cash_other"	"coffee"	10.0	8	10.0	8	2500				"APS_tz17_hh"	489					
490.0	499	"fruits"	"banana"	58.0	17	45.0	17	4000				"APS_tz17_hh"	490					
491.0	500	"legumes_oilseeds"	"beans"	7.0	10	2.0	10	16000				"APS_tz17_hh"	491					
498.0	501	"cereals"	"maize"	15.0	1	10.0	1	50000				"APS_tz17_hh"	498					
498.0	502	"cash_other"	"coffee"	80.0	8	80.0	8	2500				"APS_tz17_hh"	498					
498.0	503	"fruits"	"banana"	15.0	17	15.0	17	15000				"APS_tz17_hh"	498					
499.0	504	"cereals"	"maize"	5.0	1	5.0	1	50000				"APS_tz17_hh"	499					
499.0	505	"cash_other"	"coffee"	60.0	8	60.0	8	4000				"APS_tz17_hh"	499					
500.0	506	"cereals"	"maize"	8.0	1	5.0	1	60000				"APS_tz17_hh"	500					
