fp_index	fpweed_index	weeding_mo	weeding_wk	weeding_typ	fpweed_id	fpweed_uuid	fpweed_submission_time	fpweed_parent_table_name	fpweed_parent_index	fpweed_tags	fpweed_notes	fpweed_version	fpweed_duration	fpweed_submitted_by
270.0	455	2	1	1				"APS_tz17_fp"	270					
270.0	456	3	1	1				"APS_tz17_fp"	270					
270.0	457	4	1	1				"APS_tz17_fp"	270					
271.0	458	2	2	1				"APS_tz17_fp"	271					
271.0	459	4	1	1				"APS_tz17_fp"	271					
272.0	460	2	2	1				"APS_tz17_fp"	272					
272.0	461	4	1	1				"APS_tz17_fp"	272					
273.0	462	1	3	1				"APS_tz17_fp"	273					
273.0	463	3	4	1				"APS_tz17_fp"	273					
274.0	464	2	3	1				"APS_tz17_fp"	274					
275.0	465	3	1	1				"APS_tz17_fp"	275					
275.0	466	5	1	1				"APS_tz17_fp"	275					
276.0	467	4	2	1				"APS_tz17_fp"	276					
277.0	468	4	2	1				"APS_tz17_fp"	277					
278.0	469	4	2	1				"APS_tz17_fp"	278					
279.0	470	3	1	1				"APS_tz17_fp"	279					
280.0	471	3	3	1				"APS_tz17_fp"	280					
280.0	472	4	4	1				"APS_tz17_fp"	280					
281.0	473	4	3	1				"APS_tz17_fp"	281					
282.0	474	3	1	1				"APS_tz17_fp"	282					
283.0	475	2	1	1				"APS_tz17_fp"	283					
283.0	476	3	4	1				"APS_tz17_fp"	283					
284.0	477	3	2	1				"APS_tz17_fp"	284					
284.0	478	4	4	1				"APS_tz17_fp"	284					
285.0	479	3	3	1				"APS_tz17_fp"	285					
286.0	480	2	1	1				"APS_tz17_fp"	286					
286.0	481	3	3	1				"APS_tz17_fp"	286					
287.0	482	2	1	1				"APS_tz17_fp"	287					
287.0	483	3	1	1				"APS_tz17_fp"	287					
288.0	484	3	1	1				"APS_tz17_fp"	288					
288.0	485	4	1	1				"APS_tz17_fp"	288					
289.0	486	3	2	1				"APS_tz17_fp"	289					
