cmty_index,enum_date,zone,region,district,site,ward,village,hamlet,comm_gps,vil_nhh,vil_npersons,vil_acres,acc_inp_km,acc_inp_tsh,input_type,N_price,P_price,K_price
63,7/25/2017,N,Kilimanjaro,Siha,N030503,Nasai,Koboko_Kusini,Kikwe,-3.189338333333333 37.080205 1307.6 4.6,743,3357,2500,1,500,CAN (26:0:0),3153.846153846154,NA,NA
63,7/25/2017,N,Kilimanjaro,Siha,N030503,Nasai,Koboko_Kusini,Kikwe,-3.189338333333333 37.080205 1307.6 4.6,743,3357,2500,1,500,Minjingu Mazao,7400,8486.238532110092,NA
63,7/25/2017,N,Kilimanjaro,Siha,N030503,Nasai,Koboko_Kusini,Kikwe,-3.189338333333333 37.080205 1307.6 4.6,743,3357,2500,1,500,YaraMila Cereal,4260.869565217391,9800,19600
63,7/25/2017,N,Kilimanjaro,Siha,N030503,Nasai,Koboko_Kusini,Kikwe,-3.189338333333333 37.080205 1307.6 4.6,743,3357,2500,1,500,Yara Amidas,2450,NA,NA
65,7/27/2017,N,Kilimanjaro,Moshi,N030201,Kahe,Rau_River,Lembeni,-3.428666666666667 37.39174333333334 736.9 4.5,750,2400,3013,0,0,SA (21:0:0),4380.952380952381,NA,NA
65,7/27/2017,N,Kilimanjaro,Moshi,N030201,Kahe,Rau_River,Lembeni,-3.428666666666667 37.39174333333334 736.9 4.5,750,2400,3013,0,0,DAP,9000,8100,NA
65,7/27/2017,N,Kilimanjaro,Moshi,N030201,Kahe,Rau_River,Lembeni,-3.428666666666667 37.39174333333334 736.9 4.5,750,2400,3013,0,0,CAN (26:0:0),4692.307692307692,NA,NA
65,7/27/2017,N,Kilimanjaro,Moshi,N030201,Kahe,Rau_River,Lembeni,-3.428666666666667 37.39174333333334 736.9 4.5,750,2400,3013,0,0,YaraMila Cereal,5304.347826086956,12200,24400
65,7/27/2017,N,Kilimanjaro,Moshi,N030201,Kahe,Rau_River,Lembeni,-3.428666666666667 37.39174333333334 736.9 4.5,750,2400,3013,0,0,Yara Amidas,3300,NA,NA
65,7/27/2017,N,Kilimanjaro,Moshi,N030201,Kahe,Rau_River,Lembeni,-3.428666666666667 37.39174333333334 736.9 4.5,750,2400,3013,0,0,YaraMila Winner,8800,14666.666666666668,6600
